"year","going_out","age","gender","country","100_grand_bar","anonymous_brown_globs_that_come_in_black_and_orange_wrappers_a_k_a_mary_janes","any_full_sized_candy_bar","black_jacks","bonkers_the_candy","bonkers_the_board_game","bottle_caps","boxo_raisins","broken_glow_stick","butterfinger","cadbury_creme_eggs","candy_corn","candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants","caramellos","cash_or_other_forms_of_legal_tender","chardonnay","chick_o_sticks_we_don_t_know_what_that_is","chiclets","coffee_crisp","creepy_religious_comics_chick_tracts","dental_paraphenalia","dots","dove_bars","fuzzy_peaches","generic_brand_acetaminophen","glow_sticks","goo_goo_clusters","good_n_plenty","gum_from_baseball_cards","gummy_bears_straight_up","hard_candy","healthy_fruit","heath_bar","hersheys_dark_chocolate","hershey_s_milk_chocolate","hersheys_kisses","hugs_actual_physical_hugs","jolly_rancher_bad_flavor","jolly_ranchers_good_flavor","joy_joy_mit_iodine","junior_mints","senior_mints","kale_smoothie","kinder_happy_hippo","kit_kat","laffy_taffy","lemon_heads","licorice_not_black","licorice_yes_black","lindt_truffle","lollipops","mars","maynards","mike_and_ike","milk_duds","milky_way","regular_m_ms","peanut_m_m_s","blue_m_ms","red_m_ms","green_party_m_ms","independent_m_ms","abstained_from_m_ming","minibags_of_chips","mint_kisses","mint_juleps","mr_goodbar","necco_wafers","nerds","nestle_crunch","nown_laters","peeps","pencils","pixy_stix","real_housewives_of_orange_county_season_9_blue_ray","reese_s_peanut_butter_cups","reeses_pieces","reggie_jackson_bar","rolos","sandwich_sized_bags_filled_with_boo_berry_crunch","skittles","smarties_american","smarties_commonwealth","snickers","sourpatch_kids_i_e_abominations_of_nature","spotted_dick","starburst","sweet_tarts","swedish_fish","sweetums_a_friend_to_diabetes","take_5","tic_tacs","those_odd_marshmallow_circus_peanut_things","three_musketeers","tolberone_something_or_other","trail_mix","twix","vials_of_pure_high_fructose_corn_syrup_for_main_lining_into_your_vein","vicodin","whatchamacallit_bars","white_bread","whole_wheat_anything","york_peppermint_patties"
2017,"No","56","Male","canada","JOY","MEH","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR",NA,"MEH","DESPAIR","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","MEH"
2017,"No","64","Male","us","MEH","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH",NA,"JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","MEH"
2017,"Yes","43","Male","us","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY"
2017,"No","37","Female","canada","MEH","JOY","JOY","MEH","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY"
2017,"No","64","Male","us","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY",NA,"MEH","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH"
2017,"No","59","I'd rather not say","us","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH"
2017,"No","48","Male","us","MEH","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH"
2017,"No","54","Female","us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","36","Female","us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","45","Male","uk",NA,"MEH","JOY","MEH",NA,NA,"DESPAIR","DESPAIR","DESPAIR",NA,"JOY",NA,"MEH",NA,"JOY","JOY",NA,NA,NA,"DESPAIR","DESPAIR",NA,NA,"MEH",NA,"MEH",NA,NA,"MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH",NA,NA,NA,"DESPAIR","MEH","JOY","MEH",NA,"MEH","JOY","JOY","JOY","JOY",NA,NA,NA,"MEH","JOY",NA,"JOY","JOY",NA,NA,NA,NA,NA,"JOY",NA,NA,NA,NA,NA,NA,"DESPAIR",NA,"DESPAIR","JOY","JOY",NA,"JOY",NA,"MEH",NA,"JOY","JOY",NA,"MEH","JOY",NA,NA,NA,NA,"MEH",NA,NA,"JOY","MEH","JOY",NA,NA,NA,NA,NA,NA
2017,"Yes","33","Male","canada","MEH","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH",NA,"JOY","MEH","JOY","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","MEH","DESPAIR","MEH","MEH","JOY","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH"
2017,"Yes","37","Male","us","MEH","DESPAIR","JOY",NA,NA,NA,"JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR",NA,"JOY",NA,NA,"DESPAIR",NA,"JOY","DESPAIR","DESPAIR","JOY",NA,NA,"MEH",NA,"DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH",NA,"JOY",NA,"DESPAIR",NA,"JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH",NA,"DESPAIR",NA,"MEH","JOY","JOY","JOY",NA,NA,NA,NA,NA,"DESPAIR",NA,NA,"MEH","DESPAIR","JOY","JOY",NA,"DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY",NA,"JOY",NA,"JOY","MEH",NA,"JOY","JOY",NA,"JOY","MEH","MEH",NA,"MEH","DESPAIR","DESPAIR","JOY",NA,"DESPAIR","JOY",NA,NA,NA,NA,NA,"JOY"
2017,"No","49","Female","us","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR"
2017,"No","48","Male","us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"No","25","Male","uk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
